"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02B","246M34 (30/07/2018 - 01/12/2018)","12","9.58","1.53"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02C","24M34 6M56 (30/07/2018 - 01/12/2018)","8","9.19","2.25"
"RICARDO WAGNER DE ARAUJO","ECT2103 - CÁLCULO I","5","2356N12 (08/10/2018 - 15/12/2018)","90","8.49","2.83"
"RICARDO WAGNER DE ARAUJO","ECT2103 - CÁLCULO I","6","2356N34 (08/10/2018 - 15/12/2018)","91","8.66","2.61"
"RODRIGO BARROS","ECT2412 - MECÂNICA DOS SÓLIDOS","2","24M12 (30/07/2018 - 15/12/2018)","99","9.6","1.78"
"RODRIGO BARROS","ECT2412 - MECÂNICA DOS SÓLIDOS","3","24T56 (30/07/2018 - 15/12/2018)","104","9.54","1.73"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04A","5T56 35N34 (30/07/2018 - 01/12/2018)","29","9.55","1.85"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04B","5T56 35N34 (30/07/2018 - 01/12/2018)","28","9.54","1.76"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04C","7M56 35N34 (30/07/2018 - 01/12/2018)","22","9.4","1.8"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04D","7M56 35N34 (30/07/2018 - 01/12/2018)","27","9.2","2.25"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05A","6T56 35N12 (30/07/2018 - 01/12/2018)","30","9.26","1.91"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05B","6T56 35N12 (30/07/2018 - 01/12/2018)","30","9.27","2.09"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05C","7T12 35N12 (30/07/2018 - 01/12/2018)","30","9.47","1.86"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05D","7T12 35N12 (30/07/2018 - 01/12/2018)","18","9.68","1.52"
"RONAI MACHADO LISBOA","ECT2307 - FÍSICA EXPERIMENTAL I","03A","3M123 (13/08/2018 - 10/11/2018)","23","9.86","1.49"
"RONAI MACHADO LISBOA","ECT2307 - FÍSICA EXPERIMENTAL I","13A","2M123 (06/08/2018 - 09/11/2018)","19","9.66","1.61"
"RONAI MACHADO LISBOA","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","2","35M56 (30/07/2018 - 15/12/2018)","44","9.87","1.66"
"RONALDO CARLOTTO BATISTA","ECT2207 - PROBABILIDADE E ESTATÍSTICA","1","35M34 (30/07/2018 - 15/12/2018)","21","8.37","3.05"
"RONALDO CARLOTTO BATISTA","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","1","36T34 (30/07/2018 - 15/12/2018)","96","7.51","2.91"
"RUMMENIGGE RUDSON DANTAS","ECT2701 - INTERNET DAS COISAS","1","3T12 (30/07/2018 - 22/12/2018)","18","8.88","2.34"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02A","24M56 3T34 (30/07/2018 - 01/12/2018)","27","9.36","2.11"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02B","24M56 3T34 (30/07/2018 - 01/12/2018)","27","9.13","1.77"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02C","24M56 3T56 (30/07/2018 - 01/12/2018)","19","9.06","1.71"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02D","24M56 3T56 (30/07/2018 - 01/12/2018)","18","9.15","1.93"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","05A","2T56 25N34 (30/07/2018 - 22/12/2018)","24","9.75","1.53"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","05B","3T56 25N34 (30/07/2018 - 22/12/2018)","25","9.77","2.21"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","05C","4T56 25N34 (30/07/2018 - 22/12/2018)","24","9.7","1.61"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","05D","5T56 25N34 (30/07/2018 - 22/12/2018)","8","9.65","1.64"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","05E","6T56 25N34 (30/07/2018 - 22/12/2018)","11","9.57","1.35"
"SEBASTIAO LUIZ DE OLIVEIRA","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","3","24N34 (30/07/2018 - 15/12/2018)","31","9.76","1.86"
