"Docente","Componente Curricular","Turma","Horário","Discentes","Média Geral","Desvio Padrão Geral"
"NEEMIAS ALVES DE LIMA","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","3","35N12 (19/02/2018 - 07/07/2018)","59","9.63","1.82"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02A","2M34 24T12 (19/02/2018 - 16/06/2018)","10","9.94","0.91"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02B","2M34 24T12 (19/02/2018 - 16/06/2018)","7","9.88","1.68"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02C","2M56 24T12 (19/02/2018 - 16/06/2018)","21","9.18","1.92"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02D","2M56 24T12 (19/02/2018 - 16/06/2018)","18","9.63","1.93"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03C","4M34 24T56 (19/02/2018 - 16/06/2018)","11","9.64","1.15"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2203 - LÓGICA DE PROGRAMAÇÃO","03D","4M34 24T56 (19/02/2018 - 16/06/2018)","10","9.73","1.77"
"ORIVALDO VIEIRA DE SANTANA JUNIOR","ECT2523 - PROTOTIPAGEM MECÂNICA RÁPIDA E DE CIRCUITOS","1","24T34 (19/02/2018 - 07/07/2018)","19","9.99","0.39"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","04B","6T56 25N34 (19/02/2018 - 07/07/2018)","20","9.57","2.33"
"PATRICIA KAORI SOARES","ECT2104 - QUÍMICA GERAL","04C","7T12 25N34 (19/02/2018 - 07/07/2018)","19","9.65","2.16"
"PAULO DANTAS SESION JUNIOR","ECT2102 - VETORES E GEOMETRIA ANALÍTICA","3","36M34 (19/02/2018 - 07/07/2018)","115","7.57","3"
"PAULO HENRIQUE SOUSA DE OLIVEIRA","ECT2201 - CÁLCULO II","2","46T34 (19/02/2018 - 07/07/2018)","79","8.73","2.27"
"PEDRO DA CUNHA FERREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","05A","5M123 (26/02/2018 - 02/06/2018)","23","9.88","1.36"
"PEDRO DA CUNHA FERREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","07A","6M456 (26/02/2018 - 02/06/2018)","27","9.71","1.74"
"PEDRO DA CUNHA FERREIRA","ECT2204 - INTRODUÇÃO À FÍSICA CLÁSSICA I","3","35T56 (19/02/2018 - 07/07/2018)","115","9.59","1.82"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","03D","35N34 (19/02/2018 - 07/04/2018), 7M34 35N34 (08/04/2018 - 07/07/2018)","21","9.89","0.47"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2401 - COMPUTAÇÃO NUMÉRICA","04D","35N12 (19/02/2018 - 07/04/2018), 7M34 35N12 (08/04/2018 - 07/07/2018)","22","9.64","1.61"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","46M12 4T34 (19/02/2018 - 07/07/2018)","8","9.88","2.39"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","46M12 4T56 (19/02/2018 - 07/07/2018)","9","9.89","1.08"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","46M12 5T56 (19/02/2018 - 07/07/2018)","6","9.87","1.31"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04A","3T34 35N34 (19/02/2018 - 07/07/2018)","32","9.59","1.57"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","3T56 35N34 (19/02/2018 - 07/07/2018)","31","9.76","1.51"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04C","7T34 35N34 (19/02/2018 - 07/07/2018)","16","9.24","2.08"
"RAISSA TAVARES VIEIRA QUEIROGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04D","7M56 35N34 (19/02/2018 - 07/07/2018)","27","9.74","1.36"
"RAQUEL MENEZES BEZERRA SAMPAIO","ECT2207 - PROBABILIDADE E ESTATÍSTICA","1","35T12 (19/02/2018 - 07/07/2018)","113","9.24","2.29"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02B","35T34 (19/02/2018 - 07/04/2018), 3M34 35T34 (08/04/2018 - 07/07/2018)","11","9.43","2.03"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02C","35T34 (19/02/2018 - 07/04/2018), 3M56 35T34 (08/04/2018 - 07/07/2018)","9","9.9","1.15"
"REX ANTONIO DA COSTA MEDEIROS","ECT2401 - COMPUTAÇÃO NUMÉRICA","02D","35T34 (19/02/2018 - 07/04/2018), 3M56 35T34 (08/04/2018 - 07/07/2018)","12","9.58","1.19"
"RICARDO WAGNER DE ARAUJO","ECT2101 - PRÉ-CÁLCULO","3","2356M56 (19/02/2018 - 28/04/2018)","40","8.8","2.37"
"RICARDO WAGNER DE ARAUJO","ECT2101 - PRÉ-CÁLCULO","5","2356N12 (19/02/2018 - 28/04/2018)","84","8.72","2.48"
"RODRIGO BARROS","ECT2412 - MECÂNICA DOS SÓLIDOS","1","35T56 (19/02/2018 - 07/07/2018)","114","9.64","1.64"
"RODRIGO BARROS","ECT2412 - MECÂNICA DOS SÓLIDOS","3","35N12 (19/02/2018 - 07/07/2018)","67","9.82","1.24"
"RODRIGO SILVA TAVARES","ECT2413 - MECÂNICA DOS FLUIDOS","2","24T34 (19/02/2018 - 07/07/2018)","59","8.4","2.57"
"RODRIGO SILVA TAVARES","ECT2413 - MECÂNICA DOS FLUIDOS","3","46N12 (19/02/2018 - 07/07/2018)","24","8.58","2.85"
"RODRIGO SILVA TAVARES","ECT2413 - MECÂNICA DOS FLUIDOS","4","46N34 (19/02/2018 - 07/07/2018)","24","8.96","2.24"
"RODRIGO SILVA TAVARES","ECT2412 - MECÂNICA DOS SÓLIDOS","4","35N34 (19/02/2018 - 07/07/2018)","49","8.97","2.23"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04A","3T34 35N34 (19/02/2018 - 16/06/2018)","31","9.23","1.81"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04B","3T56 35N34 (19/02/2018 - 16/06/2018)","30","9.27","1.75"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04C","7T12 35N34 (19/02/2018 - 16/06/2018)","22","9.47","1.81"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","04D","7T34 35N34 (19/02/2018 - 16/06/2018)","16","8.83","1.83"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05A","3T34 35N12 (19/02/2018 - 16/06/2018)","34","8.43","2.21"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05B","3T56 35N12 (19/02/2018 - 16/06/2018)","30","9.54","2.06"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05C","7T12 35N12 (19/02/2018 - 16/06/2018)","29","8.98","2.39"
"ROMULO DE OLIVEIRA NUNES","ECT2203 - LÓGICA DE PROGRAMAÇÃO","05D","7T34 35N12 (19/02/2018 - 16/06/2018)","29","9.28","1.8"
"RONAI MACHADO LISBOA","ECT2307 - FÍSICA EXPERIMENTAL I","07A","6T123 (26/02/2018 - 02/06/2018)","19","9.74","1.12"
"RONAI MACHADO LISBOA","ECT2307 - FÍSICA EXPERIMENTAL I","08A","6T456 (26/02/2018 - 02/06/2018)","17","9.93","1.66"
"RONAI MACHADO LISBOA","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","2","35T56 (19/02/2018 - 07/07/2018)","61","9.59","1.86"
"RONALDO CARLOTTO BATISTA","ECT2207 - PROBABILIDADE E ESTATÍSTICA","2","35T34 (19/02/2018 - 07/07/2018)","31","8.56","2.75"
"RUMMENIGGE RUDSON DANTAS","ECT2701 - INTERNET DAS COISAS","1","5T34 (19/02/2018 - 07/07/2018)","18","9.63","1.94"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","01A","5M34 24T12 (19/02/2018 - 16/06/2018)","21","9.47","2.01"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","01B","5M34 24T12 (19/02/2018 - 16/06/2018)","25","9.01","1.83"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","01C","5M56 24T12 (19/02/2018 - 16/06/2018)","24","9.54","1.41"
"RUMMENIGGE RUDSON DANTAS","ECT2203 - LÓGICA DE PROGRAMAÇÃO","01D","5M56 24T12 (19/02/2018 - 16/06/2018)","22","9.62","1.35"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","01A","25M56 3T12 (19/02/2018 - 07/07/2018)","7","9.57","1.83"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","01B","25M56 3T34 (19/02/2018 - 07/07/2018)","22","9.41","2.48"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","01C","25M56 3T56 (19/02/2018 - 07/07/2018)","28","9.25","2.49"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","01D","25M56 4T12 (19/02/2018 - 07/07/2018)","25","9.45","1.83"
"SALETE MARTINS ALVES","ECT2104 - QUÍMICA GERAL","01E","25M56 4T34 (19/02/2018 - 07/07/2018)","23","9.63","2.31"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2401 - COMPUTAÇÃO NUMÉRICA","03D","35N34 (19/02/2018 - 07/04/2018), 7M34 35N34 (08/04/2018 - 07/07/2018)","21","9.94","0.5"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2401 - COMPUTAÇÃO NUMÉRICA","04D","35N12 (19/02/2018 - 07/04/2018), 7M34 35N12 (08/04/2018 - 07/07/2018)","22","9.75","1.41"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","46M12 4T34 (19/02/2018 - 07/07/2018)","8","9.88","2.26"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","46M12 4T56 (19/02/2018 - 07/07/2018)","9","9.73","1.88"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","46M12 5T56 (19/02/2018 - 07/07/2018)","6","9.98","1.3"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04A","3T34 35N34 (19/02/2018 - 07/07/2018)","32","9.9","1.33"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04B","3T56 35N34 (19/02/2018 - 07/07/2018)","31","9.87","1.5"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04C","7T34 35N34 (19/02/2018 - 07/07/2018)","16","9.84","1.5"
"SANDRO BRUNO DO NASCIMENTO LOPES","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","04D","7M56 35N34 (19/02/2018 - 07/07/2018)","27","9.73","1.18"
"SEBASTIAO LUIZ DE OLIVEIRA","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","4","24N34 (19/02/2018 - 07/07/2018)","46","9.3","1.88"
"SEBASTIAO LUIZ DE OLIVEIRA","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","5","24N12 (19/02/2018 - 07/07/2018)","47","9.37","1.81"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01C","46M12 5T12 (19/02/2018 - 07/07/2018)","16","9.26","2.3"
"SERGIO QUEIROZ DE MEDEIROS","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","01D","46M12 5T34 (19/02/2018 - 07/07/2018)","8","8.1","3.51"
"SERGIO QUEIROZ DE MEDEIROS","DIM0410 - TREINAMENTO PARA COMPETICOES DE PROGRAMACAO","1","6T3456","11","10","1.15"
"SERGIO RODRIGUEZ PEREZ","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","3","46N12 (19/02/2018 - 07/07/2018)","54","9.78","1.43"
"SERGIO RODRIGUEZ PEREZ","ECT2402 - INTRODUÇÃO À FÍSICA CLÁSSICA III","4","24N34 (19/02/2018 - 07/07/2018)","36","9.48","1.68"
"SIMONE BATISTA","ECT2103 - CÁLCULO I","5","2356N12 (30/04/2018 - 07/07/2018)","103","9.68","1.79"
"SIMONE BATISTA","ECT2103 - CÁLCULO I","6","2356N34 (30/04/2018 - 07/07/2018)","104","9.57","1.99"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","01A","3T123 (26/02/2018 - 02/06/2018)","18","9.59","1.86"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","02A","3T456 (26/02/2018 - 02/06/2018)","8","9.31","1.68"
"TARCIRO NORTARSON CHAVES MENDES","ECT2307 - FÍSICA EXPERIMENTAL I","11A","7T123 (26/02/2018 - 02/06/2018)","7","9.07","1.92"
"TARCIRO NORTARSON CHAVES MENDES","ECT2403 - FÍSICA EXPERIMENTAL II","04A","4M456 (26/02/2018 - 02/06/2018)","23","9.33","2.37"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02A","2M1256 5M56 (19/02/2018 - 07/07/2018)","22","9.43","2.24"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02B","25M56 2T12 (19/02/2018 - 07/07/2018)","24","8.96","2.28"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02C","25M56 2T34 (19/02/2018 - 07/07/2018)","25","9.34","2.34"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02D","2M56 5M1256 (19/02/2018 - 07/07/2018)","26","9.52","2.04"
"TATIANA DE CAMPOS BICUDO","ECT2104 - QUÍMICA GERAL","02E","25M56 5T12 (19/02/2018 - 07/07/2018)","22","9.32","1.92"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","2","4M34 (19/02/2018 - 07/07/2018)","122","9.61","2.13"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","4","4N12 (19/02/2018 - 07/07/2018)","69","9.44","2.31"
"THIAGO ISAIAS NOBREGA DE LUCENA","ECT2503 - POLÍTICA CIENTÍFICA E TECNOLÓGICA","1","3M3456 (19/02/2018 - 07/07/2018)","18","9.54","1.68"
"VERA LUCIA LOPES DE CASTRO","ECT2306 - MEIO AMBIENTE E DESENVOLVIMENTO URBANO","2","24M56 (19/02/2018 - 07/07/2018)","46","9.59","1.61"
"VERA LUCIA LOPES DE CASTRO","ECT1562 - POLÍTICAS, PLANEJAMENTO E GESTÃO DO MEIO AMBIENTE","1","24T34 (19/02/2018 - 07/07/2018)","33","9.91","1.31"
"ZULMARA VIRGINIA DE CARVALHO","ECT2512 - FUNDAMENTOS DE PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA","1","35T34 (19/02/2018 - 07/07/2018)","15","9.97","1.23"
"ZULMARA VIRGINIA DE CARVALHO","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","2","46T56 (19/02/2018 - 07/07/2018)","105","9.25","2.12"
"ZULMARA VIRGINIA DE CARVALHO","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","3","24T34 (19/02/2018 - 07/07/2018)","103","9.24","2.45"
"ZULMARA VIRGINIA DE CARVALHO","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","4","46N34 (19/02/2018 - 07/07/2018)","60","9.43","1.9"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","2","4T34 (24/07/2017 - 16/12/2017)","115","9.47","1.76"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","3","4T12 (24/07/2017 - 16/12/2017)","108","9.47","1.78"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","5","4N34 (24/07/2017 - 16/12/2017)","22","9.51","1.17"
"ADA LIMA FERREIRA DE SOUSA","ECT2105 - PRÁTICAS DE LEITURA E ESCRITA I","6","4N12 (24/07/2017 - 16/12/2017)","94","9.5","1.57"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02A","3M34 35T34 (24/07/2017 - 09/09/2017), 35T34 (10/09/2017 - 25/11/2017)","23","9.61","1.33"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02B","3M56 35T34 (24/07/2017 - 09/09/2017), 35T34 (10/09/2017 - 25/11/2017)","22","9.21","1.76"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02C","5M34 35T34 (24/07/2017 - 09/09/2017), 35T34 (10/09/2017 - 25/11/2017)","19","9.36","1.6"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","02D","5M56 35T34 (24/07/2017 - 09/09/2017), 35T34 (10/09/2017 - 25/11/2017)","22","9.49","1.22"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03A","3T56 24N12 (24/07/2017 - 09/09/2017), 24N12 (10/09/2017 - 25/11/2017)","13","9.45","1.37"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03B","5T56 24N12 (24/07/2017 - 09/09/2017), 24N12 (10/09/2017 - 25/11/2017)","18","9.4","1.45"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03C","7M34 24N12 (24/07/2017 - 09/09/2017), 24N12 (10/09/2017 - 25/11/2017)","9","9.45","1.68"
"ALEXANDRE MAGNUS FERNANDES GUIMARAES","ECT2414 - ELETRICIDADE APLICADA","03D","7M56 24N12 (24/07/2017 - 09/09/2017), 24N12 (10/09/2017 - 25/11/2017)","14","8.81","2.6"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","5","2356N12 (02/10/2017 - 16/12/2017)","90","9.28","1.66"
"ALEXSANDRO PEREIRA LIMA","ECT2103 - CÁLCULO I","6","2356N34 (02/10/2017 - 16/12/2017)","101","9.33","1.51"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01A","46M12 (24/07/2017 - 06/08/2017), 46M12 2T34 (07/08/2017 - 23/09/2017), 46M12 (24/09/2017 - 26/11/2017)","19","9.53","1.26"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01B","46M12 (24/07/2017 - 06/08/2017), 46M12 3T34 (07/08/2017 - 23/09/2017), 46M12 (24/09/2017 - 26/11/2017)","26","9.51","1.49"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","01C","46M12 (24/07/2017 - 06/08/2017), 46M12 4T34 (07/08/2017 - 23/09/2017), 46M12 (24/09/2017 - 26/11/2017)","10","9.47","1.26"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02A","46M34 (24/07/2017 - 06/08/2017), 46M34 2T56 (07/08/2017 - 23/09/2017), 46M34 (24/09/2017 - 26/11/2017)","26","9.54","1.89"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02B","46M34 (24/07/2017 - 06/08/2017), 46M34 3T56 (07/08/2017 - 23/09/2017), 46M34 (24/09/2017 - 26/11/2017)","22","9.79","1.34"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","02C","46M34 (24/07/2017 - 06/08/2017), 46M34 4T56 (07/08/2017 - 23/09/2017), 46M34 (24/09/2017 - 26/11/2017)","22","9.89","1.05"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03A","24T56 (24/07/2017 - 06/08/2017), 24T56 6T12 (07/08/2017 - 23/09/2017), 24T56 (24/09/2017 - 26/11/2017)","23","9.65","1.05"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03B","24T56 (24/07/2017 - 06/08/2017), 24T56 6T34 (07/08/2017 - 23/09/2017), 24T56 (24/09/2017 - 26/11/2017)","23","9.66","1.18"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03C","24T56 (24/07/2017 - 06/08/2017), 7M12 24T56 (07/08/2017 - 23/09/2017), 24T56 (24/09/2017 - 26/11/2017)","21","9.36","1.69"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","03D","24T56 (24/07/2017 - 06/08/2017), 7M34 24T56 (07/08/2017 - 23/09/2017), 24T56 (24/09/2017 - 26/11/2017)","22","9.18","1.64"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","04A","24N12 (24/07/2017 - 06/08/2017), 7M56 24N12 (07/08/2017 - 23/09/2017), 24N12 (24/09/2017 - 26/11/2017)","23","9.67","1.61"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","04B","24N12 (24/07/2017 - 06/08/2017), 7T12 24N12 (07/08/2017 - 23/09/2017), 24N12 (24/09/2017 - 26/11/2017)","22","9.32","1.69"
"AMANDA MELISSA DAMIAO LEITE","ECT2411 - CIÊNCIA E TECNOLOGIA DOS MATERIAIS","04C","24N12 (24/07/2017 - 06/08/2017), 7T34 24N12 (07/08/2017 - 23/09/2017), 24N12 (24/09/2017 - 26/11/2017)","16","9.6","1.32"
"ANDRE BESSA MOREIRA","ECT2307 - FÍSICA EXPERIMENTAL I","07A","6M123 (04/08/2017 - 04/11/2017)","21","9.51","1.63"
"ANDRE BESSA MOREIRA","ECT2403 - FÍSICA EXPERIMENTAL II","09A","6M456 (04/08/2017 - 04/11/2017)","24","9.75","0.88"
"ANDRE BESSA MOREIRA","ECT2304 - INTRODUÇÃO À FÍSICA CLÁSSICA II","1","35T34 (24/07/2017 - 16/12/2017)","89","9.8","1.19"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2527 - BANCOS DE DADOS PARA WEB","2","2M3456 (24/07/2017 - 16/12/2017)","27","9.9","0.97"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02C","24M12 2T34 (24/07/2017 - 26/11/2017)","24","9.89","0.95"
"AQUILES MEDEIROS FILGUEIRA BURLAMAQUI","ECT2203 - LÓGICA DE PROGRAMAÇÃO","02D","24M12 2T34 (24/07/2017 - 26/11/2017)","19","9.66","1.28"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05A","6T34 35N12 (24/07/2017 - 16/12/2017)","26","9.9","1.03"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05B","6T56 35N12 (24/07/2017 - 16/12/2017)","23","9.84","1.3"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05C","7M56 35N12 (24/07/2017 - 16/12/2017)","20","9.48","1.55"
"BRUNO MARQUES FERREIRA DA SILVA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","05D","7T12 35N12 (24/07/2017 - 16/12/2017)","20","9.82","1.13"
"CARLA GIOVANA CABRAL","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","3","4T34 (24/07/2017 - 16/12/2017)","117","8.74","2.12"
"CARLA GIOVANA CABRAL","ECT2106 - CIÊNCIA, TECNOLOGIA E SOCIEDADE","6","4N34 (24/07/2017 - 16/12/2017)","97","8.6","2.13"
"CARLA GIOVANA CABRAL","ECT1507 - RELAÇÕES DE GÊNERO EM CIÊNCIAS E TECNOLOGIA","1","3T3456 (24/07/2017 - 16/12/2017)","7","9.9","0.49"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02A","3M34 46T12 (24/07/2017 - 16/12/2017)","14","9.38","1.45"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02B","3M56 46T12 (24/07/2017 - 16/12/2017)","9","9.82","1.3"
"CARLOS ALBERTO OLARTE VEGA","ECT2303 - LINGUAGEM DE PROGRAMAÇÃO","02D","4M34 46T12 (24/07/2017 - 16/12/2017)","20","9.6","1.28"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT2206 - GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","3","24M34 (24/07/2017 - 16/12/2017)","92","8.93","1.78"
"CARLOS ALEXANDRE CAMARGO DE ABREU","ECT1503 - MATEMÁTICA FINANCEIRA","1","24T12 (24/07/2017 - 16/12/2017)","53","9.16","1.58"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2301 - CÁLCULO III","1","46T34 (24/07/2017 - 16/12/2017)","32","9.4","1.86"
"CARLOS EDUARDO PELLICER DE OLIVEIRA","ECT2301 - CÁLCULO III","5","46N34 (24/07/2017 - 16/12/2017)","32","9.74","1.4"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","1","35M56 (24/07/2017 - 16/12/2017)","77","9.46","1.47"
"DANIEL NELSON MACIEL","ECT2412 - MECÂNICA DOS SÓLIDOS","3","35N12 (24/07/2017 - 16/12/2017)","110","9.34","1.55"
"DARLAN ARAUJO MOREIRA","ECT2201 - CÁLCULO II","4","46N12 (24/07/2017 - 16/12/2017)","84","9.78","1.42"
"DARLAN ARAUJO MOREIRA","ECT2201 - CÁLCULO II","5","46N34 (24/07/2017 - 16/12/2017)","48","9.55","1.19"
"DEBORA MACHADO DE OLIVEIRA MEDINA","ECT2416 - EXPRESSÃO GRÁFICA","01A","35T56 (24/07/2017 - 29/10/2017), 46M34 (30/10/2017 - 16/12/2017)","29","9.79","1.08"
